's-hertogenbosch	(name) 's-Hertogenbosch
bakszysz	(noun) baksheesh
bakteria	(noun) bacterium, bacteria
bakteriemia	(noun) (medicine) bacteraemia
bakteriobójczo	(adv) bactericidally, germicidally
bakteriobójczy	(adj) bactericidal, germicidal
bakteriochlorofil	(noun) (biology) bacteriochlorophyll
bakteriocyd	(noun) bactericide
bakteriofag	(noun) bacteriophage
bakteriolitycznie	(adv) bacteriolytically
bakteriolityczny	(adj) (relational) bacteriolytic
bakterioliza	(noun) bacteriolysis
bakteriolizyna	(noun) bacteriolysin
bakteriolog	(noun) bacteriologist
bakteriologia	(noun) (biology, microbiology) bacteriology
bakteriologicznie	(adv) (biology, microbiology) bacteriologically
bakteriologiczny	(adj) (relational, biology, microbiology) bacteriological
bakteriomocz	(noun) (pathology) bacteriuria
bakterioryza	(noun) (ecology) rhizobium
bakterioskopia	(noun) bacterioscopy
bakteriostatycznie	(adv) (microbiology) bacteriostatically
bakteriostatyczny	(adj) (microbiology) bacteriostatic
bakteriostatyk	(noun) (microbiology) bacteriostat
bakterioterapia	(noun) (medicine) bacteriotherapy
bakterioza	(noun) (pathology or botany) bacteriosis
bakteriuria	(noun) (pathology) bacteriuria
bakteroid	(noun) bacteroid
bakteryjny	(adj) (relational) bacterial
baktria	(name) Bactria
baktrian	(noun) Bactrian camel
baku	(name) Baku (the capital city of Azerbaijan)
bakulit	(noun) (paleontology) baculite
bakulitowy	(adj) (relational, paleontology) baculite
bakun	(noun) (historical) A type of wild tobacco, grown in Ukraine and Volhynia; (archaic) A cheap, low quality tobacco…
bakunowy	(adj) (relational, archaic) cheap, low quality tobacco pipe
bakłaszka	(noun) (regional) hip flask
bakłażan	(noun) aubergine, eggplant (Solanum melongena); aubergine, eggplant (fruit)
bakłażanowy	(adj) (relational) aubergine, eggplant; (relational) aubergine, eggplant (fruit)
bal	(noun) ball (formal dance); log (large cut piece of wood)
balanga	(noun) (colloquial) booze-up, brannigan (a party with a lot of alcohol)
balangować	(verb) (intransitive) to party
balangowicz	(noun) (colloquial) reveller, carouser, party animal
balangowy	(adj) (relational, colloquial) booze-up, brannigan (a party with a lot of alcohol)
balans	(noun) (literally or figuratively) balance; balance wheel
balansista	(noun) balancer (an acrobat with remarkable balance)
balansjer	(noun) balance wheel
balansować	(verb) (intransitive) to manoeuvre, to prevaricate
balansowy	(adj) (literally or figuratively, relational) balance; (relational) balance wheel
balansówka	(noun) screwpress
balas	(noun) (architecture) baluster; (colloquial) chocolate hot dog (a long piece of fecal matter)
balasik	(noun) (architecture, dated) Alternative form of balasek, diminutive of balas
balaska	(noun) (architecture) Alternative form of balasek, diminutive of balas
balast	(noun) (nautical) ballast; (figuratively, literary) dead weight (that which is useless or excess)
balastować	(verb) (transitive, nautical) to ballast; (transitive, construction) to ballast
balastowy	(adj) (nautical, relational) ballast
balata	(noun) (countable) balata (Manilkara bidentata); (uncountable) balata (latex acquired from the tree)
balayage	(noun) (cosmetics) Alternative form of balejaż
baldach	(noun) (botany) umbel; (archaic) baldacchin
baldachim	(noun) baldacchin, canopy; (architecture) canopy
baldachimowy	(adj) (relational) baldacchin; (relationa, architecture) canopy
baldachogrono	(noun) (botany) corymb
baldaszek	(noun) (botany) umbellet
baldaszkowate	(noun) (botany) Apiaceae, Umbelliferae
baldaszkowaty	(adj) (botany) umbelled
baldaszkowy	(adj) (relational, botany) umbellet
baleary	(name) Balearic Islands
balejaż	(noun) (cosmetics) balayage, highlight (a hair dying technique)
balerina	(noun) ballerina (dancer); ballerina, ballet flat (shoe)
balerinka	(noun) ballerina girl (a young girl ballet dancer); ballerina, ballet flat (shoe)
baleron	(noun) (cooking) gammon, smoked ham (a type of cured meat); (colloquial, derogatory) hambeast (a fat person)
balet	(noun) ballet; ballet
baletka	(noun) (choreography) ballet shoe
baletmistrz	(noun) ballet master
baletmistrzowski	(adj) (relational) ballet master's
baletnica	(noun) ballerina (dancer)
baletniczy	(adj) (relational) ballerino's, ballerina's
baletnik	(noun) ballerino (dancer)
baletoman	(noun) balletomane
baletomania	(noun) (colloquial) balletomania
baletować	(verb) (intransitive, colloquial) to ballet (to dance as if in a ballet)
baletowy	(adj) (relational) ballet; (relational) ballet
balia	(noun) washtub
balista	(noun) (weaponry, historical) ballista
balistokardiograf	(noun) (cardiology) ballistocardiograph
balistokardiografia	(noun) (cardiology) ballistocardiography
balistokardiograficzny	(adj) (relational, cardiology) ballistocardiographic
balistokardiogram	(noun) (cardiology) ballistocardiogram
balistyczny	(adj) (relational) ballistic (of or relating to ballistics)
balistyk	(noun) (physics) ballistician
balistyka	(noun) (physics) ballistics
balistyt	(noun) (chemistry) ballistite
balkon	(noun) (architecture) balcony; balcony
balkonik	(noun) walking frame, Zimmer frame
balkonowy	(adj) (architecture, relational) balcony, balconic; (relational) balcony, balconic
ballada	(noun) (poetry) ballad (narrative poem); (music) ballad (slow romantic song)
balladomania	(noun) ballad mania (a love ballads)
balladować	(verb) (intransitive, rare) to ballad (to compose ballads)
balladowo	(adv) in a balladlike way
balladowość	(noun) the quality of being balladic
balladowy	(adj) (poetry, relational) ballad (narrative poem); (music, relational) ballad (slow romantic song)
balladyczność	(noun) the quality of being balladic
balladyczny	(adj) balladlike, balladic
balladysta	(noun) (music, poetry) Alternative form of balladzista
balladystka	(noun) (music, poetry) Alternative form of balladzistka
balladzista	(noun) (music, poetry) balladist, ballader
balneolog	(noun) balneologist
balneologia	(noun) balneology
balneologiczny	(adj) (relational) balneological
balneoterapeutyczny	(adj) (relational) balneotherapeutic
balneoterapia	(noun) balneotherapy
balomania	(noun) (rare) ball mania (a love of formal dances)
balon	(noun) balloon (inflatable and buoyant object); balloon (child's toy)
balon próbny	(noun) (idiomatic) trial balloon
balon spekulacyjny	(noun) (economics) Alternative form of bańka spekulacyjna
balonet	(noun) (aeronautics) ballonet
balonfok	(noun) (nautical) balloon jib
baloniarski	(adj) (relational, aeronautics) ballooning; (relational, aeronautics) balloonist's
baloniarstwo	(noun) (aeronautics) ballooning
baloniarz	(noun) (aeronautics) balloonist; (colloquial) balloon salesman
baloniasto	(adv) in a balloonish, balloonlike way
baloniasty	(adj) balloonish, balloonlike
balonik	(noun) (colloquial) breathalyzer
balonikowanie	(noun) (surgery) angioplasty
balonikowy	(adj) (relational) little balloon; (relational, colloquial) breathalyzer
balonowaty	(adj) balloonish, balloonlike
balonowy	(adj) (relational) balloon (inflatable and buoyant object); (relational) chewing gum
balonówka	(noun) (colloquial, uncountable) bubblegum; (countable) balloon tire
balot	(noun) bale (rounded bundled goods); bale
balotada	(noun) (dressage) ballotade
balotaż	(noun) (politics) runoff vote; (historical) ballot
balotować	(verb) (transitive) to bale (to wrap in a bale); (intransitive) to ballot (to decide by ballot)
balować	(verb) (intransitive, colloquial) to party (to celebrate at a party); (intransitive, colloquial) to carouse, to…
balowicz	(noun) ball attendee; partier (one who lives a loose lifestyle)
balownik	(noun) (dated) ball attendee
balowo	(adv) ceremoniously, ball-like (resembling a ball; formal dance)
balowy	(adj) (relational) ball (a formal dance)
balsa	(noun) balsa, Ochroma pyramidale; balsa (the wood of this tree)
balsam	(noun) balsam, balm; (cosmetics, medicine, pharmacology) lotion, balm
balsam peruwiański	(noun) balsam of Peru
balsamicznie	(adv) balsamically (aromatically); balsamically (soothingly)
balsamiczny	(adj) balsamic (aromatic); balsamic (soothing)
balsamina	(noun) garden balsam, balsamine (Impatiens balsamina)
balsaminka	(noun) (Judaism) A vessel used for herbs used on certain Jewish holidays
balsamista	(noun) embalmer
balsamodrzew	(noun) (archaic) any tree in the genus Commiphora
balsamować	(verb) (transitive) to embalm (to treat a corpse with preservatives)
balsamowiec	(noun) any tree in the genus Commiphora
balsamowiec właściwy	(noun) Arabian balsam tree, Commiphora gileadensis
balsamowy	(adj) (relational) balsam, balm; lotion, balm
balsowy	(adj) (relational) balsa (the tree); (relational) balsa (the wood of this tree)
balustrada	(noun) (architecture) balustrade
balustradowy	(adj) (relational, architecture) balustrade
balwiernia	(noun) (archaic) barber surgeon's office
balwierski	(adj) (relational, archaic) barber surgeon's
balwierstwo	(noun) (archaic) the state or work of a barber surgeon
balwierz	(noun) (archaic) barber surgeon; (regional) hairdresser
balzak	(noun) (literature) Honoré de Balzac (French writer)
balzakiana	(noun) (literature) the works of Honoré de Balzac
balzakista	(noun) (literature) Balzacian
balzakowski	(adj) (relational) Honoré de Balzac's
bam	(intj) dong, ding dong (used when imitating a clock or watch)
bambetle	(noun) (colloquial) stuff, things, belongings (personal items); (colloquial) bric-a-brac (random assortment of…
bambosz	(noun) house slipper
bambus	(noun) bamboo (plant); bamboo (wood)
bambusowy	(adj) (relational) bamboo (wood and tree)
ban	(noun) ban (subdivision of currency); (Internet) ban
banalizacja	(noun) (literary) banalisation
banalizować	(verb) (transitive, literary) to banalize; (reflexive, literary) to be banalized
banalnie	(adv) banally; in a banal manner
banalność	(noun) (uncountable) banality (the quality of being banal); (countable) banality (something banal)
banalny	(adj) banal, common; banal, easy
banan	(noun) banana (plant); banana (fruit)
bananojad	(noun) turaco
bananowate	(noun) Musaceae
bananowaty	(adj) bananalike
bananowiec	(noun) banana (plant); banana boat (a ship designed to transport bananas)
bananownia	(noun) bananery
bananowy	(adj) (relational) banana (plant); (relational) banana (fruit)
bananówka	(noun) banana liqueur; (colloquial) banana cake (a cake with bananas in it)
banał	(noun) banality (something which is banal); cliché, trite (overused phrase or expression)
band	(noun) pop or jazz band playing mostly wind instruments
banda	(noun) gang (a group of criminals); (colloquial) band, clique, crew
bandana	(noun) kerchief, bandana
bandaż	(noun) bandage; (construction) gauze
bandażować	(verb) (transitive) to bandage
bandelok	(noun) (archaic) stone drop earring (a hanging earing with a stone)
bandera	(noun) ensign
banderia	(noun) ceremonial horse escort; (historical) a Hungarian riding flag
banderola	(noun) excise stamp, seal of quality; (architecture) banderole
banderolować	(verb) (transitive) to seal, to give a seal of quality, to apply a excise stamp on something
banderowiec	(noun) (politics) Banderite
banderowski	(adj) (politics, derogatory, relational) Banderite
banderowy	(adj) (relational) ensign
bandoneon	(noun) (music) bandoneon
bandos	(noun) (historical) seasonal travelling farmhand
bandoski	(adj) (relational, historical) seasonal travelling farmhand, seasonal travelling farmhand's
bandura	(noun) (music) bandura
bandurzysta	(noun) bandurist
bandurzyć	(verb) (intransitive, archaic, music) to play the bandura
bandycki	(adj) thuggish; (relational, not comparable) bandit's, bandit
bandyctwo	(noun) (colloquial) banditry; (colloquial, derogatory) thuggery
bandyta	(noun) bandit, highwayman; (colloquial, derogatory) thug
bandyterka	(noun) (colloquial) banditry; (collective, colloquial) bandits in general
bandytyzm	(noun) banditry; (derogatory) thuggery
bandzioch	(noun) (colloquial or Kraków or prison slang) belly
bandzior	(noun) (colloquial) Fiat 125
bandżul	(name) Banjul (the capital of the Gambia)
baner	(noun) (advertising) billboard, banner; (Internet) banner
bangkok	(name) Bangkok (the capital city of Thailand)
bangladeski	(adj) Bangladeshi
bangladesz	(name) Bangladesh (a country in Asia)
banglać	(verb) (intransitive, colloquial, of a device) to function properly, to work; (intransitive, colloquial) to rain
bania	(noun) jug; a large can, container, churn
baniak	(noun) (colloquial) carboy, demijohn; (colloquial, humorous) head
banialuki	(noun) (colloquial, derogatory) poppycock; bunkum
banian	(noun) banyan (Ficus benghalensis)
baniasto	(adv) bulbously
baniastość	(noun) bulbousness, bulbosity (the condition of being bulbous)
baniasty	(adj) bulbous
banicja	(noun) (historical) banishment, exile; (literary) exclusion (the act of not including someone)
banicyjny	(adj) (historical, relational) banishment, exile
baniopień	(noun) bladder wrack (Nereocystis luetkeana)
banita	(noun) (historical) banishee, exile; (literary) excludee (someone not included in a group)
banitować	(verb) (transitive, historical or literary) to banish, to exile
banjo	(noun) (music) banjo
bank	(noun) bank; bank
bank centralny	(noun) (banking) central bank
bank czasu	(noun) time bank
bank danych	(noun) (computing) Alternative form of baza danych.
bank emisyjny	(noun) (banking) Alternative form of bank centralny
bank energii	(noun) (electronics) powerbank
bank genów	(noun) (genetics) gene bank
bank inwestycyjny	(noun) (banking) investment bank
bank komercyjny	(noun) (banking) commercial bank
bankier	(noun) (banking) banker; (gambling) banker
bankierowa	(noun) banker's wife
bankierski	(adj) (relational) banker, banker's
bankierstwo	(noun) bankerdom (the state of benig a banker); (literary) bankerdom (bankers collectively)
bankierówna	(noun) (uncommon) banker's daughter
bankiet	(noun) banquet
bankietować	(verb) (intransitive) to banquet (to participate in a banquet)
bankietowicz	(noun) banqueteer, banqueter (one who attends a banquet)
bankietowy	(adj) (relational) banquet
bankiwa	(noun) red junglefowl (Gallus gallus)
banknot	(noun) banknote, bill (paper money)
banknotowy	(adj) (relational) banknote, bill (paper money)
bankomat	(noun) automated teller machine, ATM
bankomatowy	(adj) (relational) automated teller machine, ATM
bankowiec	(noun) (banking) banker, bank clerk (one who works in a bank)
bankowo	(adv) (colloquial) absolutely, certainly, definitely, for sure
bankowość	(noun) (banking) banking (all matters related to banking activity); (banking) banking
